,n_neighbors,min_dist,qij_score
299,35,0.05,1.546774000093647
300,35,0.075,1.5261296821447656
301,35,0.1,1.579502126574714
302,35,0.25,1.2460722218478129
303,35,0.5,1.156416164388693
304,35,0.75,1.0790210722237603
305,35,1.0,1.045529414391698
306,36,0.01,1.621275903132612
307,36,0.025,1.5149015241477617
308,36,0.05,1.6424604603930737
309,36,0.075,1.5439808557258612
310,36,0.1,1.5553052887607413
311,36,0.25,1.357050122078066
312,36,0.5,1.1065841920393558
313,36,0.75,1.0866368435881748
314,36,1.0,1.0457655855633519
315,37,0.01,1.558419024282295
316,37,0.025,1.5286751853813643
317,37,0.05,1.5487434138777303
318,37,0.075,1.5040687780361068
319,37,0.1,1.5075641120250305
320,37,0.25,1.2878306539222706
321,37,0.5,1.1607237718993693
322,37,0.75,1.076837727075782
323,37,1.0,1.0355573513917742
324,38,0.01,1.5383294936855778
325,38,0.025,1.5428544669938082
326,38,0.05,1.504549428501786
327,38,0.075,1.5022940448331257
328,38,0.1,1.5127338456623116
329,38,0.25,1.2777850573107497
330,38,0.5,1.1424088447784255
331,38,0.75,1.0624393991207715
332,38,1.0,0.9991569707654033
333,39,0.01,1.5845563398154612
334,39,0.025,1.5118439219798603
335,39,0.05,1.5955927486454442
336,39,0.075,1.5260962302092809
337,39,0.1,1.3154601109246329
338,39,0.25,1.309119854346556
339,39,0.5,1.1002596468880501
340,39,0.75,1.0707516157026307
341,39,1.0,1.043483751425347
342,41,0.01,1.5319336940482815
343,41,0.025,1.453994961543617
344,41,0.05,1.4638835731013264
345,41,0.075,1.4566118106040555
346,41,0.1,1.459437320781083
347,41,0.25,1.2946898567432177
348,41,0.5,1.1428102805342375
349,41,0.75,1.0920906575372546
350,41,1.0,1.0050081964670907
351,42,0.01,1.5872649810339539
352,42,0.025,1.557042906919138
353,42,0.05,1.4673688875037225
354,42,0.075,1.4326626897705719
355,42,0.1,1.5446764480482997
356,42,0.25,1.2246921554802706
357,42,0.5,1.1607451271490445
358,42,0.75,1.055970010856563
359,42,1.0,0.9878043654771069
360,43,0.01,1.5901480268287989
361,43,0.025,1.4539668095022726
362,43,0.05,1.4803395670588566
363,43,0.075,1.4404616744207885
364,43,0.1,1.4243578348842094
365,43,0.25,1.2995925161279702
366,43,0.5,1.1198392176341425
367,43,0.75,1.037819469851983
368,43,1.0,1.0428019974213782
369,44,0.01,1.5478167328979193
370,44,0.025,1.512993465283948
371,44,0.05,1.5120808523419926
372,44,0.075,1.4278380582986152
373,44,0.1,1.3936144758568982
374,44,0.25,1.2802864881248741
375,44,0.5,1.1242123436811653
376,44,0.75,1.0583894761392898
377,44,1.0,1.0277564104564068
378,45,0.01,1.504071477091478
379,45,0.025,1.5692943939125508
380,45,0.05,1.4988291831776799
381,45,0.075,1.3752893854150683
382,45,0.1,1.5238897060553516
383,45,0.25,1.3101661344153879
384,45,0.5,1.1164545200622076
385,45,0.75,1.0790793465050603
386,45,1.0,0.9629719046676621
387,47,0.01,1.4842804555683768
388,47,0.025,1.4514573560416073
389,47,0.05,1.4380911359035924
390,47,0.075,1.3978879854804438
391,47,0.1,1.3453746369478212
392,47,0.25,1.311673840340438
393,47,0.5,1.0692062813191425
394,47,0.75,1.0221947839486667
395,47,1.0,1.0089053957285659
396,48,0.01,1.4874251563050347
397,48,0.025,1.529598217839463
398,48,0.05,1.5541204038372296
399,48,0.075,1.531386080033176
400,48,0.1,1.3354101965122895
401,48,0.25,1.1758232166811435
402,48,0.5,1.0926562550419003
403,48,0.75,1.0276167813782262
404,48,1.0,0.9980187346479461
405,49,0.01,1.581312204940268
406,49,0.025,1.5799434031908692
407,49,0.05,1.4372834832890842
408,49,0.075,1.4288287071916388
409,49,0.1,1.4881805113888005
410,49,0.25,1.2882347097399496
411,49,0.5,1.0506933721049911
412,49,0.75,1.0613366151757395
413,49,1.0,1.030289007865158
414,51,0.01,1.469193603733304
415,51,0.025,1.4391786998791147
416,51,0.05,1.3730914165490518
417,51,0.075,1.5098896881868455
418,51,0.1,1.432724494181885
419,51,0.25,1.1658290965560951
420,51,0.5,1.1155091881746602
421,51,0.75,1.0076940296630443
422,51,1.0,0.9709629414577376
423,52,0.01,1.4907558614348826
424,52,0.025,1.5532381774982085
425,52,0.05,1.5561166854524364
426,52,0.075,1.5212158284331094
427,52,0.1,1.371765441667268
428,52,0.25,1.3411753581861374
429,52,0.5,1.0813212987858707
430,52,0.75,1.0276628766809353
431,52,1.0,0.9795323595432457
432,54,0.01,1.5317532984144586
433,54,0.025,1.4145629566265132
434,54,0.05,1.5361123780166341
435,54,0.075,1.4090756643943
436,54,0.1,1.4507230841633243
437,54,0.25,1.4069655958956497
438,54,0.5,1.0287271880724518
439,54,0.75,1.0161045185433597
440,54,1.0,0.9521978547351182
441,55,0.01,1.6349512720992507
442,55,0.025,1.4116159232380898
443,55,0.05,1.470875151859122
444,55,0.075,1.4961773785106223
445,55,0.1,1.4906047659956627
446,55,0.25,1.2406911513384982
447,55,0.5,1.0817871306414197
448,55,0.75,1.011357082054821
449,55,1.0,0.958427953800328
450,57,0.01,1.4661570790918006
451,57,0.025,1.4733255910339471
452,57,0.05,1.552199746903197
453,57,0.075,1.423139579376822
454,57,0.1,1.4118463869692155
455,57,0.25,1.3725858726905962
456,57,0.5,1.0204379864904167
457,57,0.75,1.0349109609923026
458,57,1.0,0.9699029490962738
459,58,0.01,1.5052439388943952
460,58,0.025,1.473473675131335
461,58,0.05,1.4940051827567808
