,auc_rnx,pearsonr,cca_stress,mds_isotonic,sammon_nlm,n_neighbors,min_dist
897,0.4033084361553907,0.38668703726124287,809924.1704613527,0.9053234472883169,0.5226214050495149,174,0.21544346900318836
898,0.3966893028731233,0.4379623838436048,756879.9949628394,0.8828264412264494,0.4767891370660707,174,0.46415888336127786
899,0.3678462249457329,0.5087004556157206,727870.0532567155,0.846926494998806,0.41638685279258797,174,1.0
900,0.40088634154694813,0.3743635974748481,879825.5978247107,0.9114136261853784,0.5628211763565688,179,0.0010000000000000007
901,0.40226391742810785,0.4041160797825506,836658.6342540297,0.8973904151016684,0.5247918718109928,179,0.002154434690031885
902,0.39969224012694865,0.37197136140444065,858656.5491233912,0.9115159948010519,0.5525232881457692,179,0.004641588833612782
903,0.39892301086313564,0.3947256448914006,851714.8997297423,0.9011467118871427,0.5298386362583885,179,0.009999999999999998
904,0.40683158957516924,0.41950459080145375,847927.9054268424,0.8913573064289438,0.5301403106914876,179,0.021544346900318843
905,0.4069263722598507,0.3981255417028103,831333.0874797006,0.90021950812117,0.5264523897024941,179,0.0464158883361278
906,0.4093749924116255,0.42258249355658717,827490.816676446,0.8902327841600871,0.5233994969206508,179,0.09999999999999999
907,0.4050850029914265,0.44529862969680506,762650.4928863238,0.8774936373496935,0.47444356211156,179,0.21544346900318836
908,0.39534549331489643,0.4482280097029968,750532.3182906689,0.8767122158305553,0.4556030646754061,179,0.46415888336127786
909,0.36702105463622386,0.5059116885014089,704768.9216290166,0.8488820754355975,0.4231659136721836,179,1.0
910,0.40250541281654556,0.373265493586455,841162.3478890066,0.9094086715050911,0.5405516706224804,185,0.0010000000000000007
911,0.40074638281008096,0.406707938026869,846723.2227778641,0.8958666063530478,0.5190312294843202,185,0.002154434690031885
912,0.4039858684041938,0.4237243180573581,826444.0241704903,0.8910581537211437,0.5385140253684726,185,0.004641588833612782
913,0.40437510972130847,0.4333692343083,843125.9879405623,0.8844905226054411,0.5170187908945615,185,0.009999999999999998
914,0.40378285872875874,0.4238763426461949,832574.020323549,0.890407748039305,0.5356609189203244,185,0.021544346900318843
915,0.4086722326435635,0.49293762255524287,757458.8865152495,0.8531716959953538,0.47950644456221964,185,0.0464158883361278
916,0.4067526906985892,0.4174977923505758,800958.8234531411,0.8900428152394111,0.5005504587343694,185,0.09999999999999999
917,0.40270329250470466,0.42406817521034895,806388.04485313,0.8874805384672108,0.4910108596404809,185,0.21544346900318836
